,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
289,Kahului,20,US,1603168959,54,20.89,-156.47,84.2,4.7
290,Kamaishi,20,JP,1603168959,37,39.27,141.88,66.2,2.24
291,Karratha,0,AU,1603168959,40,-20.74,116.85,84.47,16.93
292,Burnie,10,AU,1603168959,60,-41.07,145.92,60.01,11.01
293,Airai,0,TL,1603168959,36,-8.93,125.41,81.41,5.64
294,Kruisfontein,50,ZA,1603168959,60,-34.0,24.73,62.01,5.01
295,Buta,100,CD,1603168959,98,2.79,24.73,70.97,1.77
296,Rio Negro,82,BR,1603168959,94,-26.11,-49.8,59.0,3.0
297,Atascadero,1,US,1603168959,42,35.49,-120.67,68.0,4.7
298,Sakaiminato,20,JP,1603168959,52,35.55,133.23,69.8,8.05
299,Qinhuangdao,84,CN,1603168959,36,39.93,119.59,70.02,17.74
300,Benton,90,US,1603168960,100,36.33,-94.33,50.0,3.36
301,Broome,90,US,1603168799,93,42.25,-75.83,57.0,9.17
302,Mirny,90,RU,1603168960,68,62.54,113.96,26.6,13.42
303,Samarai,26,PG,1603168960,81,-10.62,150.67,81.18,8.97
304,Champerico,99,GT,1603168960,95,14.3,-91.92,69.01,1.95
305,Oussouye,18,SN,1603168960,90,12.48,-16.55,80.08,5.01
306,Half Moon Bay,1,US,1603168960,72,37.46,-122.43,63.0,5.35
307,Umluj,0,SA,1603168960,29,25.02,37.27,87.8,5.99
308,Farroupilha,0,BR,1603168960,78,-29.23,-51.35,69.01,3.53
309,Kaitangata,91,NZ,1603168960,53,-46.28,169.85,54.01,7.63
310,Līsakovsk,76,KZ,1603168762,40,52.54,62.49,54.39,13.8
311,General Pico,0,AR,1603168865,52,-35.66,-63.76,53.37,7.05
312,Borogontsy,100,RU,1603168961,94,62.67,131.17,19.35,5.28
313,Bathsheba,40,BB,1603168961,83,13.22,-59.52,78.8,1.12
314,Bubaque,56,GW,1603168961,86,11.28,-15.83,82.35,7.2
315,Kelo,18,TD,1603168961,66,9.31,15.81,70.36,3.38
316,Sioux Lookout,75,CA,1603168961,74,50.1,-91.92,28.4,3.36
317,Biak,100,ID,1603168961,68,-0.91,122.88,83.88,8.84
318,Ixtapa,5,MX,1603168961,83,20.7,-105.2,84.0,1.39
319,Te Anau,5,NZ,1603168962,55,-45.42,167.72,52.88,6.04
320,Lanzhou,100,CN,1603168742,37,36.06,103.79,60.01,4.27
321,Ubari,22,LY,1603168962,71,26.59,12.78,62.35,16.42
322,Phan Thiet,92,VN,1603168677,71,10.93,108.1,85.12,4.36
323,Ugoofaaru,65,MV,1603168962,79,5.67,73.0,82.33,13.13
324,Yar-Sale,10,RU,1603168670,97,66.83,70.83,18.84,3.06
325,Acapulco de Juárez,22,MX,1603168937,79,16.86,-99.89,80.51,5.19
326,Paamiut,100,GL,1603168962,67,61.99,-49.67,41.67,27.07
327,Harbour Breton,72,CA,1603168962,100,47.48,-55.8,48.99,9.69
328,Praia da Vitória,20,PT,1603168962,82,38.73,-27.07,60.8,27.89
329,Aksu,0,CN,1603168963,27,41.12,80.26,63.34,1.9
330,Hobyo,0,SO,1603168963,70,5.35,48.53,82.29,11.23
331,Almaznyy,0,RU,1603168963,100,48.04,40.05,37.4,4.47
332,Changtu,0,CN,1603168963,38,42.78,124.1,68.14,21.03
333,Bandar-e Lengeh,0,IR,1603168963,47,26.56,54.88,78.8,4.7
334,Huittinen,90,FI,1603168963,98,61.18,22.7,32.0,5.82
335,Gariāband,93,IN,1603168963,62,20.64,82.06,87.8,4.7
336,Chase,68,CA,1603168963,96,50.82,-119.69,36.0,3.69
337,Kavieng,98,PG,1603168963,69,-2.57,150.8,83.68,2.77
338,Rudnogorsk,98,RU,1603168963,90,57.26,103.75,27.63,11.18
339,Klaksvík,26,FO,1603168963,69,62.23,-6.59,37.4,5.82
340,Coahuayana Viejo,54,MX,1603168964,88,18.73,-103.68,78.48,1.99
341,Olafsvik,65,IS,1603168964,75,64.89,-23.71,38.77,11.12
342,Kondinskoye,96,RU,1603168964,97,59.65,67.41,35.26,7.18
343,Tateyama,75,JP,1603168964,63,34.98,139.87,71.01,18.34
344,Paita,8,PE,1603168964,86,-5.09,-81.11,63.37,7.72
345,Santa Marta,100,CO,1603168964,92,11.24,-74.2,75.99,1.01
346,Novokizhinginsk,100,RU,1603168964,84,51.61,109.59,30.33,15.14
347,Xining,19,CN,1603168679,44,36.62,101.77,48.54,3.8
348,Campbellsville,40,US,1603168964,100,37.34,-85.34,64.4,9.17
349,Novobirilyussy,100,RU,1603168964,95,56.95,90.67,33.01,11.16
350,Cayenne,53,GF,1603168965,88,4.93,-52.33,78.8,2.24
351,Riwaka,100,NZ,1603168965,55,-41.08,173.0,66.0,4.0
352,Shakawe,0,BW,1603168965,21,-18.37,21.85,71.47,5.61
353,Mthatha,90,ZA,1603168965,100,-31.59,28.78,55.4,9.17
354,Tonstad,100,NO,1603168965,94,58.66,6.72,46.0,1.99
355,Zdvinsk,100,RU,1603168965,71,54.7,78.66,44.47,10.02
356,Medicine Hat,90,CA,1603168771,80,50.05,-110.67,30.2,8.05
357,Río Gallegos,45,AR,1603168882,64,-51.62,-69.22,39.2,23.04
358,Lagos,40,NG,1603168965,94,6.58,3.75,73.4,2.24
359,Antalaha,50,MG,1603168965,69,-14.9,50.28,79.11,11.43
360,Lamar,1,US,1603168679,87,33.67,-95.58,57.2,5.82
361,Ishim,51,RU,1603168965,78,56.11,69.49,47.07,5.95
362,Currais Novos,100,BR,1603168966,85,-6.26,-36.52,68.97,20.76
363,Dhidhdhoo,19,MV,1603168966,77,6.88,73.1,82.38,14.41
364,Mayor Pablo Lagerenza,19,PY,1603168966,82,-19.93,-60.77,74.64,4.54
365,Malatya Province,20,TR,1603168966,71,38.5,38.0,51.8,8.05
366,Tromsø,0,NO,1603168966,85,69.65,18.96,24.8,6.93
367,Kano,0,NG,1603168966,88,12.0,8.52,68.0,5.82
368,Logan Lake,75,CA,1603168966,75,50.5,-120.8,44.6,13.87
369,Goundam,0,ML,1603168966,17,16.41,-3.67,84.45,10.94
370,Wajima,40,JP,1603168967,52,37.4,136.9,68.0,10.29
371,Vardø,40,NO,1603168967,80,70.37,31.11,35.6,12.75
372,Rosario,90,AR,1603168733,88,-32.95,-60.64,64.0,23.04
373,Midleton,75,IE,1603168967,93,51.92,-8.18,55.99,26.4
374,Gayny,80,RU,1603168967,93,60.31,54.32,34.14,5.97
375,Matola,1,MZ,1603168967,61,-25.96,32.46,75.99,7.0
376,Ca Mau,90,VN,1603168967,67,9.18,105.15,87.39,8.25
377,Grootfontein,0,NA,1603168967,24,-19.57,18.12,68.14,15.05
378,Lavrentiya,1,RU,1603168967,81,65.58,-171.0,33.64,4.88
379,Lincoln,75,US,1603168875,60,40.8,-96.67,42.8,6.93
380,Port Keats,62,AU,1603168968,51,-14.25,129.55,90.23,8.19
381,Bognor Regis,100,GB,1603168968,92,50.78,-0.68,57.99,5.01
382,Fairbanks,90,US,1603168790,85,64.84,-147.72,21.99,1.92
383,Praia,59,CV,1603168968,65,14.92,-23.51,80.6,10.29
384,Wanning,94,CN,1603168968,85,18.8,110.4,78.03,16.93
385,Whitehorse,75,CA,1603168968,85,60.72,-135.05,23.0,0.38
386,Qasigiannguit,100,GL,1603168968,74,68.82,-51.19,37.4,10.29
387,Son Tay,100,VN,1603168968,53,21.14,105.5,73.4,10.29
388,San Cristobal,96,VE,1603168968,84,7.77,-72.22,66.36,1.5
389,Cherskiy,77,RU,1603168968,94,68.75,161.3,22.05,1.68
390,Nelson Bay,20,AU,1603168969,56,-32.72,152.15,69.8,17.22
391,Agirish,87,RU,1603168969,93,61.92,63.02,32.72,5.66
392,Vysokogornyy,0,RU,1603168969,74,50.12,139.15,34.83,11.45
393,Rocha,95,UY,1603168969,84,-34.48,-54.33,55.6,14.7
394,Tevriz,60,RU,1603168969,90,57.51,72.4,41.77,3.51
395,Haines Junction,100,CA,1603168969,82,60.75,-137.51,27.9,2.06
396,Kupino,100,RU,1603168969,74,54.37,77.3,45.19,9.19
397,Linares,67,CL,1603168920,71,-35.85,-71.6,46.9,5.19
398,Pflugerville,90,US,1603168801,83,30.44,-97.62,78.01,9.17
399,Nizhniy Mamon,0,RU,1603168969,78,50.19,40.51,38.75,7.7
400,Mana,57,GF,1603168970,87,5.66,-53.78,79.02,9.35
401,Udachny,90,RU,1603168970,92,66.42,112.4,17.6,2.24
402,Iralaya,99,HN,1603168970,84,15.0,-83.23,79.61,5.23
403,Cap Malheureux,0,MU,1603168970,66,-19.98,57.61,79.0,11.99
404,Chatham,100,GB,1603168970,79,51.38,0.53,55.99,4.0
405,Borovskoy,96,KZ,1603168970,44,53.8,64.15,51.6,12.44
406,Tanah Merah,40,MY,1603168970,70,5.8,102.15,87.8,3.36
407,Paraíso,40,CR,1603168970,94,9.84,-83.87,68.0,3.36
408,Katobu,96,ID,1603168970,43,-4.94,122.53,92.01,3.02
409,Cascais,100,PT,1603168970,100,38.7,-9.42,63.0,8.99
410,Kahama,72,TZ,1603168971,59,-3.83,32.6,73.58,8.05
411,Novonikolsk,0,RU,1603168971,42,43.85,131.86,66.2,7.67
412,Tazmalt,0,DZ,1603168971,55,36.39,4.4,60.8,10.29
413,Prince Rupert,75,CA,1603168971,70,54.32,-130.32,48.2,6.93
414,Soe,11,ID,1603168971,33,-9.86,124.28,88.29,10.56
415,Acaraú,19,BR,1603168971,79,-2.89,-40.12,78.76,18.12
416,Bangassou,93,CF,1603168971,94,4.74,22.82,70.34,1.57
417,Tyup,0,KG,1603168972,35,42.73,78.36,54.63,3.27
418,Ilulissat,100,GL,1603168972,74,69.22,-51.1,37.4,10.29
419,Obra,11,IN,1603168972,47,24.42,82.98,86.38,4.41
420,Ostrovnoy,100,RU,1603168972,82,68.05,39.51,35.65,11.83
421,Srednekolymsk,98,RU,1603168972,96,67.45,153.68,19.18,3.09
422,Bowen,40,AU,1603168972,38,-20.02,148.23,89.6,9.17
423,Bonnyville,90,CA,1603168972,92,54.27,-110.73,21.2,4.7
424,Nhulunbuy,20,AU,1603168972,49,-12.23,136.77,89.6,11.41
425,Yulara,38,AU,1603168972,35,-25.24,130.99,89.6,10.29
426,La Ronge,90,CA,1603168972,58,55.1,-105.28,24.8,6.93
427,Nome,90,US,1603168675,93,64.5,-165.41,37.4,2.53
428,Kinna,90,SE,1603168973,100,57.51,12.69,42.01,9.17
429,Usinsk,100,RU,1603168973,93,65.99,57.53,23.97,7.25
430,Sistranda,20,NO,1603168973,72,63.73,8.83,33.8,11.41
431,Husavik,84,IS,1603168973,86,66.04,-17.34,28.4,4.43
432,Brigantine,90,US,1603168973,93,39.41,-74.36,64.0,4.7
433,Huinan,0,CN,1603168973,39,42.62,126.26,64.35,13.94
434,Kerema,75,PG,1603168973,78,-7.96,145.78,82.83,7.43
435,Kenai,20,US,1603168730,80,60.55,-151.26,34.0,3.36
436,Warri,22,NG,1603168973,95,5.52,5.75,74.37,2.68
437,Caicó,100,BR,1603168791,79,-6.46,-37.1,71.44,8.9
438,Srīsailain,100,IN,1603168974,87,16.08,78.87,75.78,1.61
439,Dingle,100,PH,1603168974,86,11.0,122.67,80.56,5.73
440,Bījār,0,IR,1603168974,29,35.87,47.61,56.43,2.04
441,Lázaro Cárdenas,35,MX,1603168974,89,17.96,-102.2,79.12,4.14
442,Pemangkat,60,ID,1603168974,67,1.17,108.97,84.92,8.63
443,Camacha,75,PT,1603168974,94,33.08,-16.33,68.0,13.87
444,Arlit,0,NE,1603168953,14,18.74,7.39,83.88,9.35
445,San Quintín,0,MX,1603168974,84,30.48,-115.95,67.57,11.01
446,Dzaoudzi,10,YT,1603168683,78,-12.79,45.27,78.8,3.36
447,Crestview,1,US,1603168975,88,30.76,-86.57,64.99,3.36
448,Ankang,98,CN,1603168975,22,32.68,109.02,64.0,4.12
449,Ariquemes,100,BR,1603168975,78,-9.91,-63.04,73.15,1.34
450,Ţahţā,0,EG,1603168975,40,26.77,31.5,71.6,4.7
451,Rochegda,94,RU,1603168975,96,62.8,43.25,32.61,5.32
452,Kifrī,0,IQ,1603168975,17,34.7,44.97,78.71,5.93
453,Esso,100,RU,1603168975,90,55.93,158.7,31.64,2.21
454,Turan,90,VN,1603168919,94,16.07,108.22,75.2,13.18
455,Nacala,3,MZ,1603168975,69,-14.54,40.67,81.03,3.36
456,Boguchany,100,RU,1603168976,94,58.38,97.45,31.03,8.59
457,Vestmanna,15,FO,1603168976,74,62.16,-7.17,37.4,5.82
458,Linguère,24,SN,1603168976,21,15.4,-15.12,86.36,8.5
459,Syracuse,2,IT,1603168976,93,37.09,15.28,54.0,4.7
460,Otane,100,NZ,1603168976,79,-39.88,176.63,57.0,7.0
461,Khandyga,99,RU,1603168976,91,62.67,135.6,18.81,4.63
462,Ghugus,93,IN,1603168976,71,19.93,79.13,84.04,5.7
463,Bahía Honda,76,CU,1603168976,85,22.9,-83.16,76.08,14.54
464,Bichura,100,RU,1603168976,85,50.59,107.6,30.27,13.96
465,Pimentel,56,PE,1603168976,90,-6.84,-79.93,61.36,9.64
466,Barsovo,75,RU,1603168977,98,61.17,73.17,32.0,6.71
467,Atasū,0,KZ,1603168977,34,48.68,71.64,51.44,6.08
468,Colombo,40,LK,1603168954,79,6.93,79.85,84.2,11.41
469,Kumul,0,CN,1603168947,31,42.8,93.45,59.32,0.58
470,Northam,66,GB,1603168977,92,51.03,-4.22,57.99,8.99
471,Bengkulu,100,ID,1603168871,62,-3.8,102.27,85.73,5.19
472,Ponta Delgada,20,PT,1603168977,72,37.73,-25.67,60.8,16.11
473,Muisne,100,EC,1603168977,83,0.6,-80.03,75.15,8.21
474,Rawson,1,AR,1603168977,48,-43.3,-65.1,50.11,10.29
475,Bosaso,0,SO,1603168977,70,11.28,49.18,84.2,8.05
476,Esmeraldas,75,BR,1603168978,88,-19.76,-44.31,64.4,4.7
477,Mazamari,48,PE,1603168978,77,-11.33,-74.53,69.98,1.88
478,Sarny,1,UA,1603168978,92,51.34,26.6,37.62,7.49
479,Esperance,90,AU,1603168978,83,-33.87,121.9,69.8,11.41
480,Meulaboh,5,ID,1603168978,56,4.14,96.13,87.98,4.68
481,Belyy Yar,40,RU,1603168978,69,53.6,91.39,35.6,20.13
482,Concepción del Oro,4,MX,1603168978,56,24.63,-101.42,60.31,5.95
483,Guadalupe y Calvo,6,MX,1603168978,87,26.1,-106.97,54.97,4.7
484,Laguna,1,US,1603168978,56,38.42,-121.42,70.0,2.75
485,Maroantsetra,75,MG,1603168978,83,-15.43,49.73,73.89,7.11
486,Zorritos,75,PE,1603168979,77,-3.68,-80.68,70.14,6.51
487,Rovaniemi,75,FI,1603168979,92,66.5,25.72,24.8,6.93
488,Havelock,49,US,1603168979,96,34.88,-76.9,66.0,3.94
489,Conneaut,90,US,1603168979,100,41.95,-80.55,55.4,6.93
490,Ekibastuz,0,KZ,1603168979,48,51.67,75.37,54.09,14.83
491,Gravdal,20,NO,1603168979,74,68.12,13.5,33.8,3.36
492,Batemans Bay,54,AU,1603168979,71,-35.72,150.18,66.0,1.99
493,Ossora,100,RU,1603168979,90,59.24,163.07,38.64,8.37
494,Bastrop,1,US,1603168979,100,32.76,-91.87,69.8,6.11
495,Puerto Baquerizo Moreno,78,EC,1603168942,86,-0.9,-89.6,69.62,11.3
496,Båtsfjord,75,NO,1603168700,80,70.63,29.72,35.6,12.75
497,Pandan,100,PH,1603168980,85,14.05,124.17,80.65,17.94
498,Oakdale,20,US,1603168980,86,44.96,-92.96,32.0,3.8
499,Slavyanka,0,RU,1603168980,52,42.86,131.38,59.05,6.31
500,Guymon,1,US,1603168980,70,36.68,-101.48,46.4,6.93
501,Lakselv,75,NO,1603168980,100,70.05,24.97,33.8,6.93
502,Kloulklubed,75,PW,1603168980,79,7.04,134.26,84.2,4.7
503,Colares,100,PT,1603168980,100,38.8,-9.45,63.0,8.99
504,Puerto Colombia,40,CO,1603168701,94,10.99,-74.95,77.0,3.36
505,Dunedin,85,NZ,1603168981,72,-45.87,170.5,50.0,11.01
506,Porto Murtinho,1,BR,1603168981,83,-21.7,-57.88,75.45,4.99
507,Parkes,1,AU,1603168981,24,-33.13,148.18,81.0,1.99
508,Seydi,0,TM,1603168981,23,39.48,62.91,66.33,6.62
509,Beloha,0,MG,1603168981,31,-25.17,45.05,80.2,4.59
510,Teya,100,RU,1603168964,94,60.38,92.63,30.7,5.7
511,Fort-Shevchenko,74,KZ,1603168981,78,44.51,50.26,61.95,28.05
512,Bilibino,82,RU,1603168981,93,68.05,166.44,16.03,2.95
513,Constantine,1,DZ,1603168950,70,36.37,6.61,48.2,5.82
514,General Bravo,0,MX,1603168981,79,25.8,-99.17,78.13,19.98
515,Port Shepstone,72,ZA,1603168982,79,-30.74,30.45,68.52,21.25
516,Mount Vernon,75,US,1603168841,77,40.91,-73.84,60.8,3.36
517,Yerbogachën,100,RU,1603168982,95,61.28,108.01,26.13,11.16
518,Pacific Grove,90,US,1603168868,100,36.62,-121.92,59.0,1.86
519,Clifton,20,US,1603168860,87,40.86,-74.16,60.01,6.93
520,Egvekinot,48,RU,1603168982,99,66.32,-179.17,29.1,4.81
521,Nishihara,40,JP,1603168982,70,26.18,127.76,87.8,18.34
522,Susurluk,40,TR,1603168982,76,39.91,28.16,64.0,8.05
523,Valparaíso,6,CL,1603168830,71,-33.04,-71.63,55.4,4.7
524,Mochalishche,75,RU,1603168983,100,56.33,48.35,35.6,13.42
525,Gort,40,IE,1603168983,87,53.07,-8.82,55.4,11.41
526,Aykhal,90,RU,1603168983,92,66.0,111.5,17.6,2.24
527,Nouadhibou,43,MR,1603168983,53,20.93,-17.03,77.0,12.75
528,Saint-Pierre,0,RE,1603168983,50,-21.34,55.48,78.8,4.7
529,Sterlibashevo,100,RU,1603168983,85,53.44,55.26,44.1,9.42
530,Mayumba,100,GA,1603168984,87,-3.43,10.66,76.95,3.71
531,Ngunguru,98,NZ,1603168984,75,-35.62,174.5,64.17,10.22
532,Kyshtovka,88,RU,1603168984,81,56.55,76.63,44.2,7.61
533,Launceston,3,AU,1603168984,55,-41.45,147.17,62.01,16.11
534,Kang,15,BW,1603168984,21,-23.68,22.79,77.43,4.09
535,Ampanihy,0,MG,1603168984,21,-24.7,44.75,83.8,5.53
536,Pervomayskoye,92,RU,1603168984,64,43.92,46.71,58.87,18.52
537,Pilar,40,BR,1603168985,94,-9.6,-35.96,69.8,4.7
538,Yumbing,41,PH,1603168985,75,9.24,124.66,84.2,13.62
539,Ranong,75,TH,1603168985,94,9.97,98.63,77.0,4.7
540,Pendleton,1,US,1603168693,62,45.67,-118.79,57.99,20.8
541,Pochutla,58,MX,1603168985,86,15.74,-96.47,77.0,4.03
542,Bat Yam,4,IL,1603168985,88,32.02,34.75,71.01,2.24
543,Acajutla,97,SV,1603168985,100,13.59,-89.83,72.0,5.44
544,Upington,0,ZA,1603168985,34,-28.45,21.26,50.0,9.17
545,Solikamsk,99,RU,1603168985,96,59.62,56.77,35.44,4.47
546,Kibala,58,TD,1603168986,94,9.11,18.35,75.2,1.32
547,Green River,1,US,1603168986,42,41.53,-109.47,46.4,10.29
548,Porto Santo,75,PT,1603168986,94,33.07,-16.34,68.0,13.87
549,Kindu,95,CD,1603168986,94,-2.95,25.95,69.84,1.72
550,Yeppoon,43,AU,1603168986,40,-23.13,150.73,87.8,8.05
551,Naze,75,JP,1603168986,78,28.37,129.48,80.6,24.16
552,Singkang,20,MY,1603168986,74,2.1,102.8,80.6,3.06
553,Santa Maria,0,BR,1603168986,75,-29.68,-53.81,67.41,4.14
554,Ikalamavony,2,MG,1603168987,50,-21.15,46.58,74.89,4.61
555,Beruwala,70,LK,1603168987,73,6.48,79.98,83.43,11.36
556,Naryan-Mar,99,RU,1603168987,97,67.67,53.09,25.23,4.23
557,Shache,0,CN,1603168987,24,38.42,77.24,64.13,2.1
558,Benguela,2,AO,1603168987,83,-12.58,13.41,72.37,4.41
559,Tommot,100,RU,1603168987,96,58.96,126.29,29.46,3.47
560,Masvingo,0,ZW,1603168987,34,-20.06,30.83,70.45,4.5
561,Ashland,90,US,1603168987,100,40.82,-82.27,51.01,10.29
562,Adrar,0,MR,1603168987,23,20.5,-10.07,79.7,9.91
563,Maniitsoq,100,GL,1603168988,92,65.42,-52.9,38.08,35.84
564,San Andrés,75,CO,1603168988,94,12.58,-81.7,78.8,6.73
565,Ephrata,1,US,1603168920,87,40.18,-76.18,59.0,6.93
566,Zabid,0,YE,1603168988,62,14.2,43.32,85.12,3.38
567,Vilcún,8,CL,1603168988,100,-38.65,-72.23,37.4,3.36
568,Portree,100,GB,1603168988,93,57.41,-6.19,50.0,5.01
569,Las Choapas,49,MX,1603168988,94,17.93,-94.08,73.8,3.67
570,Kenitra,95,MA,1603168989,67,34.26,-6.58,62.6,4.7
571,Tegul'det,100,RU,1603168989,94,57.31,88.17,33.48,11.59
572,Hasaki,75,JP,1603168883,63,35.73,140.83,68.0,14.99
573,Malbork,82,PL,1603168989,100,54.04,19.03,41.0,5.95
574,Muborak,0,UZ,1603168989,21,39.26,65.15,69.67,6.64
575,Kīhei,20,US,1603168989,54,20.79,-156.47,84.2,4.7
576,Destin,1,US,1603168885,69,30.39,-86.5,75.2,4.7
577,Faya,0,SA,1603168989,27,18.39,42.45,53.6,6.93
578,Mpika,0,ZM,1603168989,53,-11.83,31.45,69.93,9.24
579,Shangrao,26,CN,1603168990,66,28.45,117.97,69.37,7.54
580,Taber,90,CA,1603168990,86,49.82,-112.15,28.4,14.99
581,Salina Cruz,53,MX,1603168771,71,16.17,-95.2,80.01,15.05
582,Zwedru,74,LR,1603168990,98,6.07,-8.13,70.72,0.69
